,District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
0,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,30 Dec 2020
1,Agra,Achnera,Potato,Desi,FAQ,800,900,850,29 Dec 2020
2,Agra,Achnera,Potato,Desi,FAQ,850,950,900,28 Dec 2020
3,Agra,Achnera,Potato,Desi,FAQ,800,900,850,27 Dec 2020
4,Agra,Achnera,Potato,Desi,FAQ,800,900,850,26 Dec 2020
5,Agra,Achnera,Potato,Desi,FAQ,800,900,850,25 Dec 2020
6,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,23 Dec 2020
7,Agra,Achnera,Potato,Desi,FAQ,820,920,870,22 Dec 2020
8,Agra,Achnera,Potato,Desi,FAQ,800,900,850,21 Dec 2020
9,Agra,Achnera,Potato,Desi,FAQ,800,900,850,20 Dec 2020
10,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,19 Dec 2020
11,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,18 Dec 2020
12,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,16 Dec 2020
13,Agra,Achnera,Potato,Desi,FAQ,1400,1500,1450,15 Dec 2020
14,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,14 Dec 2020
15,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,13 Dec 2020
16,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,12 Dec 2020
17,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,11 Dec 2020
18,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,09 Dec 2020
19,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,08 Dec 2020
20,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,07 Dec 2020
21,Agra,Achnera,Potato,Desi,FAQ,2650,2750,2700,06 Dec 2020
22,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,05 Dec 2020
23,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,04 Dec 2020
24,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,02 Dec 2020
25,Agra,Achnera,Potato,Desi,FAQ,2840,2940,2890,01 Dec 2020
26,Agra,Achnera,Potato,Desi,FAQ,2830,2930,2880,30 Nov 2020
27,Agra,Achnera,Potato,Desi,FAQ,3750,3850,3800,29 Nov 2020
28,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,28 Nov 2020
29,Agra,Achnera,Potato,Desi,FAQ,2830,2910,2870,27 Nov 2020
30,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,25 Nov 2020
31,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,24 Nov 2020
32,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,23 Nov 2020
33,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,22 Nov 2020
34,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,21 Nov 2020
35,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,20 Nov 2020
36,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,18 Nov 2020
37,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,17 Nov 2020
38,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,16 Nov 2020
39,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,15 Nov 2020
