Company,Sector,Address,Contact,Email,Link
Budli Internet Private Limited,Financial Inclusion  Environment Clean Tech  ReCommerce of used gadgets,"Bengaluru,  India","2021,+91-9007919199,+91-9007919199 ,+91 9007919199","hello@budli.in,name@example.com,contact@budli.in",https://budli.in/contact-us
FYROOMS,Hospitality Company,"Kolkata,  India",,reach@fyrooms.com,https://fyrooms.com/contact-us
Healtheeliving E Solutions Pvt Ltd,Healthcare,"Hyderabad,  India", +91 9963002021,info@healtheeliving.com,https://aarogyahaar.com/contactus.html
Santos Kumar Das ,Healthcare  Infrastructure Transport  Environment Clean Tech  Clean Energy Solution  Smart city,"Sundargarh,  India",9437940105,"info@example.com,santosdas@gmail.com,dassk@nitrkl.ac",https://isdr.nitrkl.ac.in/contact.php
EffiaSoft Pvt. Ltd.,Financial Inclusion  Retail - Distribution - Airline - Taxation Governance,"Hyderabad,  India","
+91 40 40404030,+91 40 40404030","sales@effiasoft.com,info@effiasoft.com,support@effiasoft.com",https://effiasoft.com/about-effiasoft-2/effiasoft-contact/
CamfyVision Technologies Pvt. Ltd. ,Education,"Bengaluru,  India",+91 91086 28001,vedpal@camfyvision.com,https://www.camfyvision.com/contact
Academy of Robotics,Robotics Ed-Tech Research,"Visakhapatnam,  India",,Jobs@AcademyofRobotics.net,https://www.academyofrobotics.net/contact-us/current-openings.html
OCEO WATER PRIVATE LIMITED,Clean Energy Solution,"Bengaluru,  India",,"india@oceowater.online,connect@oceowater.online",https://www.oceowater.online/oceo/website/contactus
Talento Consulting Private Limited,Education,"South West Delhi,  India",011-43024116,contactus@talento.in,https://www.talento.in/contactus.php
CamfyVision Technologies Pvt. Ltd. ,Education,"Bengaluru,  India",+91 91086 28001,vedpal@camfyvision.com,http://camfyvision.com/contact
Academy of Robotics,Robotics Ed-Tech Research,"Visakhapatnam,  India",,"Media@AcademyofRobotics.net,Info@AcademyofRobotics.net,Business@AcademyofRobotics.net,Board@AcademyofRobotics.net,info@AcademyofRobotics.net,Services@AcademyofRobotics.net",https://www.academyofrobotics.net/contact-us.html
Academy of Robotics,Robotics Ed-Tech Research,"Visakhapatnam,  India",,board@AcademyofRobotics.net,https://www.academyofrobotics.net/contact-us/opportunities.html
Academy of Robotics,Robotics Ed-Tech Research,"Visakhapatnam,  India",,Business@AcademyofRobotics.net,https://www.academyofrobotics.net/contact-us/franchising.html
Huwel Lifesciences Pvt. Ltd,Healthcare,"Hyderabad,  India",+(123)-45- 7890,"Info@huwellifesciences.in,careers@huwellifesciences.in,avinash@highpurple.com",https://www.huwellifesciences.in/contact-us/
Huwel Lifesciences Pvt. Ltd,Healthcare,"Hyderabad,  India",+(123)-45- 7890,"Info@huwellifesciences.in,careers@huwellifesciences.in,avinash@highpurple.com",http://www.huwellifesciences.in/contact-us/
Ignitarium Technology Solutions Pvt. Ltd,Deep Learning - Multimedia,"Ernakulam,  India"," +81-45-350-1757 ,+91 484 4876089,+1 512 640 3488,+91-80-42054217, +81-901-707-4661,+91 80 42054217,+1-512-640-3488",,https://ignitarium.com/contact-us/
KAMBAA INCORPORATION,Agriculture  Software Development and Digital Marketing,"Coimbatore,  India"," +91 97902 54666, +91-422 4272336","contactus@kambaa.com,hr@kambaa.com",https://www.kambaaincorporation.com/contact
